"launch_title","launch_status","launch_date","rocket_name","agency_name","location_name"
"Hakuto-R M1 & Lunar Flashlight","Sun • Dec 11th, 20228:38 AM GMT+1","Sun  Dec 11th, 2022 - 8:38 AM GMT+1","Falcon 9 Block 5","SpaceX","Space Launch Complex 40"
"Unknown Payload","Go For Launch","Mon  Dec 12th, 2022 - 9:25 AM - 9:43 AM GMT+1","Long March 4C","China Aerospace Science and Technology Corporation","Launch Area 4 (SLS-2 / 603)"
"Galaxy 35 & 36, MTG-I1","Go For Launch","Tue  Dec 13th, 2022 - 9:30 PM - 11:16 PM GMT+1","Ariane 5 ECA+","Arianespace","Ariane Launch Area 3"
"Maiden Flight","Date/Time May Change","Tue  Dec 13th, 2022 - 11:00 PM - 2:30 AM GMT+1","RS1","ABL Space Systems","Launch Pad 3C"
"Maiden Flight","Go For Launch","Wed  Dec 14th, 2022 - 10:30 AM - 11:44 AM GMT+1","Zhuque-2","LandSpace","Unknown Pad"
"SWOT - Surface Water and Ocean Topography","Go For Launch","Thu  Dec 15th, 2022 - 12:46 PM GMT+1","Falcon 9 Block 5","SpaceX","Space Launch Complex 4E"
"Virginia is for Launch Lovers","Go For Launch","Fri  Dec 16th, 2022 - 12:00 AM - 2:00 AM GMT+1","Electron","Rocket Lab Ltd","Rocket Lab Launch Complex 2 (Launch Area 0 C)"
"O3b mPower 1 & 2","Date/Time May Change","Fri  Dec 16th, 2022 - 10:21 PM GMT+1","Falcon 9 Block 5","SpaceX","Space Launch Complex 40"
"Starlink Group 4-37","Date/Time TBD","Sat  Dec 17th, 2022 - 1:00 AM GMT+1","Falcon 9 Block 5","SpaceX","Launch Complex 39A"
"Pléiades Neo 5 & 6","Go For Launch","Wed  Dec 21st, 2022 - 2:47 AM GMT+1","Vega-C","Arianespace","Ariane Launch Area 1"
"Transporter 6 (Dedicated SSO Rideshare)","Date/Time TBD","Thu  Dec 22nd, 2022 - 1:00 AM GMT+1","Falcon 9 Block 5","SpaceX","Space Launch Complex 40"
"EROS-C3","Date/Time TBD","Thu  Dec 29th, 2022 - 7:58 AM GMT+1","Falcon 9 Block 5","SpaceX","Space Launch Complex 4E"
"Starlink Group 2-2","Date/Time TBD","Sat  Dec 31st, 2022 - 1:00 AM GMT+1","Falcon 9 Block 5","SpaceX","Space Launch Complex 40"
"Fengyun-3F","Date/Time TBD","Sat  Dec 31st, 2022 - 1:00 AM GMT+1","Long March 4C","China Aerospace Science and Technology Corporation","Unknown Pad"
"Start Me Up","Date/Time TBD","Sat  Dec 31st, 2022 - 1:00 AM GMT+1","LauncherOne","Virgin Orbit","Spaceport Cornwall"
