"rocket_name","mission_name","mission_type","mission_launch_cost","mission_description"
"Hakuto-R M1 & Lunar Flashlight","Hakuto-R M1 & Lunar Flashlight","Lunar Exploration","$52,000,000","First mission of the Hakuto-R commercial lunar lander developed by private Japanese company ispace.

Rideshare includes Lunar Flashlight, NASA’s cubesat that will search for water ice at the Moon’s South Pole."
"unknown","unknown","unknown","unknown","unknown"
"Galaxy 35 & 36, MTG-I1","Galaxy 35 & 36, MTG-I1","Earth Science","unknown","Galaxy 35, 36 are two geostationary communications satellites operated by Intelsat.
MTG-I1 is the first of EUMETSAT’s third generation of weather satellite."
"Maiden Flight","Maiden Flight","Test Flight","$12,000,000","This is the first launch of RS1 launch vehicle developed and built by ABL Space Systems. This launch carries two satellites for L2 Aerospace."
"Maiden Flight","Maiden Flight","Test Flight","unknown","First flight of the new methalox rocket developed by Chinese startup LandSpace."
"SWOT - Surface Water and Ocean Topography","SWOT – Surface Water and Ocean Topography","Earth Science","$52,000,000","Satellite altimeter jointly developed by NASA and CNES, the French space agency, in partnership with the Canadian Space Agency (CSA) and UK Space Agency (UKSA) designed to make the first global survey of the Earth’s surface water, to observe the fine details of the ocean surface topography, and to measure how terrestrial surface water bodies change over time."
"Virginia is for Launch Lovers","Virginia is for Launch Lovers","Dedicated Rideshare","$6,000,000","Rideshare mission with 3 HawkEye 360 satellites and other payloads."
"O3b mPower 1 & 2","O3b mPower 1 & 2","Communications","$52,000,000","First and second of a constellation of eleven high-throughput communications satellites in Medium Earth Orbit (MEO) built by Boeing and operated by SES."
"Starlink Group 4-37","Starlink Group 4-37","Communications","$52,000,000","A batch of 52 satellites for Starlink mega-constellation – SpaceX’s project for space-based Internet communication system."
"Pléiades Neo 5 & 6","Pléiades Neo 5 & 6","Government/Top Secret","unknown","Pléiades Neo 5 and 6 are the last two in a constellation of four optical high-resolution Earth observation satellites built and operated by Airbus. It is a dual purpose constellation, serving both civilian and military purposes."
"Transporter 6 (Dedicated SSO Rideshare)","Transporter 6 (Dedicated SSO Rideshare)","Dedicated Rideshare","$52,000,000","Transporter 5 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers."
"EROS-C3","EROS-C3","Earth Science","$52,000,000","Israeli Earth Observation satellite with 38 cm resolution in panchromatic mode and 76 cm resolution in multi-spectral mode, covering a swath of ~12.5 km.

The satellite is similar to OPTSAT-3000 built by Israel Aerospace Industries (IAI) for the Italian Defense Ministry."
"Starlink Group 2-2","Starlink Group 2-2","Communications","$52,000,000","A batch of satellites for Starlink mega-constellation – SpaceX’s project for space-based Internet communication system."
"unknown","unknown","unknown","unknown","unknown"
"Start Me Up","Start Me Up","Earth Science","$12,000,000","7 payloads for government and private customers. This mission is the first launch from the United Kingdom."
